# generated by reference-checks/aces_ocio_encodings_reference.py, OpenColorIO 2.5.2
# ACES-OUTPUT - ACES2065-1_to_CIE-XYZ-D65 - <preset>_2.0 followed by DISPLAY - CIE-XYZ-D65_to_<encoding>
# columns: preset,r_ap0,g_ap0,b_ap0,cv_r,cv_g,cv_b
# presets: rec709_100_srgb = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_sRGB; rec709_100_bt1886 = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.1886-REC.709; rec709_100_g22 = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_G2.2-REC.709; p3d65_100_g26 = SDR-100nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_G2.6-P3-D65; p3d65_1000_pq = HDR-1000nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_ST2084-P3-D65; rec2020_1000_pq = HDR-1000nit-REC2020_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-PQ; p3d65_1000_hlg_rec2100 = HDR-1000nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-HLG-1000nit; rec709d60_100_srgb = SDR-100nit-REC709-D60-in-REC709-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_sRGB; p3d60_1000_pq_rec2100 = HDR-1000nit-P3-D60-in-REC2020-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-PQ
rec2020_1000_pq,8.0,8.0,8.0,0.68391824,0.6839182,0.6839182
rec2020_1000_pq,0.05,0.0,0.0,0.1729657,0.03107234,0.017967215
rec2020_1000_pq,0.0,0.05,0.05,7.309427e-07,0.1806689,0.1762191
rec2020_1000_pq,0.5,0.0,0.0,0.46259308,0.11760234,0.0799498
rec2020_1000_pq,0.0,0.5,0.5,7.309427e-07,0.44267103,0.43520132
rec2020_1000_pq,1.0,0.0,0.0,0.54774964,0.13580567,0.099025175
rec2020_1000_pq,0.0,1.0,1.0,7.309427e-07,0.5200893,0.51211196
rec2020_1000_pq,10.0,0.0,0.0,0.7518271,0.44707087,0.35101396
rec2020_1000_pq,0.0,10.0,10.0,7.309427e-07,0.7210878,0.7125511
rec2020_1000_pq,28.41841,24.344778,37.99694,0.728312,0.72675616,0.73151165
rec2020_1000_pq,0.6612502,0.682678,0.09478852,0.4877521,0.48353264,0.29782093
rec2020_1000_pq,59.221184,61.5654,59.030956,0.74143684,0.7416688,0.7414588
rec2020_1000_pq,0.00017070514,0.001229348,0.0015458196,7.309427e-07,0.004760999,0.0053154584
rec2020_1000_pq,45.84187,9.971024,82.71785,0.73885006,0.6958989,0.7518271
rec2020_1000_pq,0.021122947,0.0024990516,0.014078625,0.093172796,0.00844347,0.07195715
rec2020_1000_pq,0.002844924,0.00661045,0.0061173006,0.01210158,0.036065996,0.03380441
rec2020_1000_pq,0.00051750906,0.0014351306,0.0008430994,0.0016740736,0.005874781,0.004056631
rec2020_1000_pq,0.022847129,0.20706503,0.14117625,7.309427e-07,0.34166467,0.3016877
rec2020_1000_pq,6.3162236,4.270521,4.5560303,0.6709787,0.649962,0.653414
