# generated by reference-checks/aces_ocio_encodings_reference.py, OpenColorIO 2.5.2
# inverse of aces2_ocio_display_encoding.csv (display code values -> ACES2065-1)
# columns: preset,cv_r,cv_g,cv_b,r_ap0,g_ap0,b_ap0
p3d65_100_g26,0.0,0.18861982,0.1806356,0.01879359,0.04908027,0.047973365
p3d65_100_g26,0.768998,0.0,0.16238537,0.49006423,0.044134706,0.0037431277
p3d65_100_g26,0.0,0.6306572,0.6038686,0.18029779,0.50275075,0.4910004
p3d65_100_g26,0.98670435,0.0,0.20127009,0.9685462,0.08961178,0.006578207
p3d65_100_g26,0.0,0.7733418,0.74036527,0.35481915,1.0013387,0.9774168
p3d65_100_g26,1.0000061,0.6334676,0.5786462,1.7148442,0.6091261,0.3155454
p3d65_100_g26,0.7280307,1.0000061,0.97875273,3.3796294,8.206045,8.153857
p3d65_100_g26,0.9881467,0.9865641,0.9906559,28.409012,24.3378,37.987377
p3d65_100_g26,0.726103,0.70172125,0.3341209,0.6612355,0.68266255,0.094789214
p3d65_100_g26,0.9962748,0.99642324,0.99631476,59.243736,61.59548,59.04622
p3d65_100_g26,0.0,0.008683275,0.008962722,0.00048457578,0.0012108205,0.0014713033
p3d65_100_g26,0.99811196,0.97023845,1.0000061,29.389536,12.627338,43.08706
p3d65_100_g26,0.099351406,0.0,0.07198695,0.020403665,0.003166812,0.013779217
p3d65_100_g26,0.008527511,0.03904644,0.036635578,0.002844919,0.006610594,0.0061172443
p3d65_100_g26,0.0021899755,0.010121082,0.008077164,0.0005175035,0.0014351563,0.000843063
p3d65_100_g26,0.0,0.4380173,0.37509036,0.06571092,0.20403264,0.14219034
p3d65_100_g26,0.95677745,0.91907394,0.9252556,6.316176,4.270659,4.5562067
p3d65_100_g26,0.3722322,0.50355005,0.24713083,0.16540124,0.25191277,0.06328644
p3d65_100_g26,0.35378224,0.45486307,0.0,0.12792864,0.20003027,0.006072402
p3d65_100_g26,0.0,0.51979005,0.30527997,0.06729792,0.28810394,0.054594837
p3d65_1000_pq,7.309427e-07,7.309427e-07,7.309427e-07,1.6371075e-06,1.6371073e-06,1.6371072e-06
p3d65_1000_pq,0.06068116,0.06068116,0.060681164,0.010000006,0.010000011,0.010000008
p3d65_1000_pq,0.44129115,0.44129124,0.44129124,0.50000024,0.5000004,0.5000006
p3d65_1000_pq,0.68391806,0.6839182,0.6839182,8.0000305,8.000029,8.0000305
p3d65_1000_pq,0.18824577,7.309427e-07,0.027443161,0.043504618,0.008794703,0.0020540315
p3d65_1000_pq,7.309427e-07,0.17910303,0.17218415,0.025712803,0.044729102,0.04364585
p3d65_1000_pq,0.48192638,7.309427e-07,0.15843165,0.4683103,0.06144024,0.010376369
p3d65_1000_pq,7.309427e-07,0.43852732,0.42755896,0.2102117,0.4833385,0.4712194
p3d65_1000_pq,0.56565374,7.309427e-07,0.21124548,0.96355814,0.101206034,0.011667663
p3d65_1000_pq,7.309427e-07,0.5150527,0.50348103,0.39531285,0.9838694,0.9592681
p3d65_1000_pq,0.7518271,0.43602294,0.42616558,6.9101152,0.7818281,0.13609128
p3d65_1000_pq,7.309427e-07,0.71239704,0.7000056,3.4124737,10.085151,9.833221
p3d65_1000_pq,0.7285483,0.7266028,0.73159397,28.418549,24.344849,37.99752
p3d65_1000_pq,0.4940754,0.484155,0.28817713,0.661251,0.6826779,0.094788514
p3d65_1000_pq,0.7413698,0.7416862,0.74145454,59.222374,61.565575,59.032326
p3d65_1000_pq,7.309427e-07,0.004833916,0.0051616826,0.00063958624,0.0011608957,0.0013727442
p3d65_1000_pq,0.7471768,0.69372535,0.7518271,34.799255,10.387444,56.75477
