# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_OUTPUT_TRANSFORM_20
# columns: peak_nits,limiting_primaries,r,g,b,r_out,g_out,b_out
# output is display-linear in the limiting primaries, 1.0 = 100 cd/m^2
100.0,p3d65,0.0,10.0,0.0,0.2489021,1.0302556,0.35776508
100.0,p3d65,0.0,10.0,10.0,0.16918388,1.0169417,0.93307334
100.0,p3d65,0.0,0.0,10.0,-0.00035316695,0.005746001,0.0075817793
100.0,p3d65,10.0,0.0,10.0,1.0904769,0.23260996,0.75478905
100.0,p3d65,0.12835671,0.42425424,0.2891852,-0.0008003632,0.26197305,0.17336476
100.0,p3d65,0.2179053,0.23109841,0.34486538,0.09475189,0.1264455,0.20089501
100.0,p3d65,0.0025988314,0.008282656,0.0012659623,6.114368e-06,0.00034250776,5.2412586e-05
100.0,p3d65,0.0016947687,0.00044669004,0.0013730898,1.1058045e-05,3.9762764e-07,5.8437518e-06
100.0,p3d65,7.2360888,5.3612547,6.6169443,0.8906381,0.83611584,0.8614092
100.0,p3d65,0.00061579206,0.0014427701,0.0016487708,8.1049016e-08,6.766251e-06,7.0105098e-06
100.0,p3d65,0.00085590343,0.005282828,0.0067177676,-3.4602235e-06,9.105066e-05,9.5917676e-05
100.0,p3d65,14.227308,18.438784,4.0771413,0.9374302,0.9879849,0.8184851
100.0,p3d65,0.05438203,0.008477045,0.0514045,0.017071716,-3.969732e-05,0.010639294
100.0,p3d65,60.60197,33.507004,88.86753,0.9942594,0.9771261,0.9983485
100.0,p3d65,2.780193,12.51065,22.101048,0.5610337,0.9223723,1.0059876
100.0,p3d65,0.053610936,0.09035126,0.0063881534,0.017110374,0.0434304,0.00028427487
100.0,p3d65,0.040305544,0.053870525,0.04492682,0.0063998015,0.019247014,0.013351528
100.0,p3d65,2.0856154,0.8216084,1.7603343,0.94610274,0.33193237,0.6422364
100.0,p3d65,0.012909604,0.0018970562,0.011854765,0.0008580377,-3.2755452e-06,0.0005173943
100.0,p3d65,0.63535184,0.59443116,0.34960604,0.38389546,0.33099738,0.22348832
100.0,p3d65,0.009795946,0.0067738215,0.007262715,0.0008312362,0.000295257,0.00038757594
100.0,p3d65,4.9657006,7.114646,0.7187635,0.7945997,1.0152951,0.40775737
100.0,p3d65,0.020688212,0.025609445,0.006608773,0.0036774632,0.0050466973,0.000501488
100.0,p3d65,0.002140473,0.0022664326,0.0013847284,2.5958656e-05,2.6924177e-05,1.4367891e-05
100.0,p3d65,5.7410045,6.970885,5.246352,0.8416978,0.8718515,0.84215444
100.0,p3d65,12.311204,5.3472,2.5092647,1.0236979,0.84563196,0.8017213
100.0,p3d65,1.1829528,7.845009,5.9025946,0.22495908,1.0141026,0.82503957
100.0,p3d65,3.7690847,8.79762,2.1358516,0.68178725,0.9978093,0.6730337
100.0,p3d65,2.024743,0.48334378,1.9702173,1.0210478,0.15136734,0.70276093
100.0,p3d65,4.7441,1.1557485,3.409549,1.0700719,0.41764164,0.7030107
100.0,p3d65,24.532665,24.760946,11.826119,0.9714805,0.9687901,0.9422485
100.0,p3d65,0.7793694,0.74921787,0.45722532,0.43026674,0.39079684,0.28288087
100.0,p3d65,0.27376878,0.27468958,0.059621945,0.20314634,0.17523032,0.027238889
100.0,p3d65,1.7278978,3.3542383,3.069833,0.36518672,0.8427621,0.7571858
100.0,p3d65,0.1452532,-0.04281437,0.26234332,0.031176906,-0.00074072514,0.024836577
100.0,p3d65,0.25027362,-0.03415102,0.16085279,0.12216527,-0.0019053125,0.05518333
100.0,p3d65,0.15937898,0.09650285,0.21861161,0.09892082,0.029368527,0.12657927
100.0,p3d65,-0.02372666,0.21780685,0.13215691,-0.0034245988,0.089099355,0.06394133
100.0,p3d65,0.23191704,0.019229304,0.19946364,0.1647795,-0.0010790665,0.092464894
100.0,p3d65,0.29208368,0.268283,0.011918582,0.23604034,0.17236622,0.0012212148
100.0,p3d65,0.19156015,0.19844612,-0.04582044,0.13930473,0.13773693,-0.0031694078
100.0,p3d65,0.18020925,0.22492863,0.26699904,0.06385921,0.13033405,0.15514593
1000.0,rec2020,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,rec2020,1e-04,1e-04,1e-04,2.7553975e-08,2.7553956e-08,2.7553963e-08
1000.0,rec2020,0.001,0.001,0.001,5.436616e-06,5.436612e-06,5.4366133e-06
1000.0,rec2020,0.01,0.01,0.01,0.0009384515,0.000938451,0.00093845115
1000.0,rec2020,0.05,0.05,0.05,0.02134029,0.021340273,0.021340279
