# libultrahdr HLG OOTF / inverse OOTF (BT.2100 luminance)
# columns: dir, gamma, r_in, g_in, b_in, r_out, g_out, b_out
# dir values: ootf, inverse_ootf, ootf_approx, inverse_ootf_approx
# gamma values cover hlg_system_gamma over typical display peaks
# reference: lib/src/gainmapmath.cpp:294/304/299/309 @ libultrahdr commit 8cbc983
dir,gamma,r_in,g_in,b_in,r_out,g_out,b_out
ootf_approx,1.45299995,0.00100000005,0.00100000005,0.00100000005,4.37522285e-05,4.37522285e-05,4.37522285e-05
inverse_ootf_approx,1.45299995,0.00100000005,0.00100000005,0.00100000005,0.0086160088,0.0086160088,0.0086160088
ootf,1.45299995,0.00999999978,0.00999999978,0.00999999978,0.00124165253,0.00124165253,0.00124165253
inverse_ootf,1.45299995,0.00999999978,0.00999999978,0.00999999978,0.0420278721,0.0420278721,0.0420278721
ootf_approx,1.45299995,0.00999999978,0.00999999978,0.00999999978,0.00124165253,0.00124165253,0.00124165253
inverse_ootf_approx,1.45299995,0.00999999978,0.00999999978,0.00999999978,0.0420278721,0.0420278721,0.0420278721
ootf,1.45299995,0.0500000007,0.0500000007,0.0500000007,0.0128707392,0.0128707392,0.0128707392
inverse_ootf,1.45299995,0.0500000007,0.0500000007,0.0500000007,0.127230272,0.127230272,0.127230272
ootf_approx,1.45299995,0.0500000007,0.0500000007,0.0500000007,0.0128707392,0.0128707392,0.0128707392
inverse_ootf_approx,1.45299995,0.0500000007,0.0500000007,0.0500000007,0.127230272,0.127230272,0.127230272
ootf,1.45299995,0.100000001,0.100000001,0.100000001,0.0352370925,0.0352370925,0.0352370925
inverse_ootf,1.45299995,0.100000001,0.100000001,0.100000001,0.205007002,0.205007002,0.205007002
ootf_approx,1.45299995,0.100000001,0.100000001,0.100000001,0.0352370925,0.0352370925,0.0352370925
inverse_ootf_approx,1.45299995,0.100000001,0.100000001,0.100000001,0.205007017,0.205007017,0.205007017
ootf,1.45299995,0.180000007,0.180000007,0.180000007,0.0827772543,0.0827772543,0.0827772543
inverse_ootf,1.45299995,0.180000007,0.180000007,0.180000007,0.307224065,0.307224065,0.307224065
ootf_approx,1.45299995,0.180000007,0.180000007,0.180000007,0.0827772543,0.0827772543,0.0827772543
inverse_ootf_approx,1.45299995,0.180000007,0.180000007,0.180000007,0.307224065,0.307224065,0.307224065
ootf,1.45299995,0.25,0.25,0.25,0.133415669,0.133415669,0.133415669
inverse_ootf,1.45299995,0.25,0.25,0.25,0.385162026,0.385162026,0.385162026
ootf_approx,1.45299995,0.25,0.25,0.25,0.133415669,0.133415669,0.133415669
inverse_ootf_approx,1.45299995,0.25,0.25,0.25,0.385162026,0.385162026,0.385162026
ootf,1.45299995,0.5,0.5,0.5,0.365261108,0.365261108,0.365261108
inverse_ootf,1.45299995,0.5,0.5,0.5,0.620614231,0.620614231,0.620614231
ootf_approx,1.45299995,0.5,0.5,0.5,0.365261108,0.365261108,0.365261108
inverse_ootf_approx,1.45299995,0.5,0.5,0.5,0.620614231,0.620614231,0.620614231
ootf,1.45299995,0.75,0.75,0.75,0.658360898,0.658360898,0.658360898
inverse_ootf,1.45299995,0.75,0.75,0.75,0.820376635,0.820376635,0.820376635
ootf_approx,1.45299995,0.75,0.75,0.75,0.658360898,0.658360898,0.658360898
inverse_ootf_approx,1.45299995,0.75,0.75,0.75,0.820376575,0.820376575,0.820376575
ootf,1.45299995,1,1,1,1,1,1
inverse_ootf,1.45299995,1,1,1,1,1,1
ootf_approx,1.45299995,1,1,1,1,1,1
inverse_ootf_approx,1.45299995,1,1,1,1,1,1
ootf,1.5,0.00100000005,0.00100000005,0.00100000005,3.16227815e-05,3.16227815e-05,3.16227815e-05
inverse_ootf,1.5,0.00100000005,0.00100000005,0.00100000005,0.00999999885,0.00999999885,0.00999999885
ootf_approx,1.5,0.00100000005,0.00100000005,0.00100000005,3.16227779e-05,3.16227779e-05,3.16227779e-05
inverse_ootf_approx,1.5,0.00100000005,0.00100000005,0.00100000005,0.00999999885,0.00999999885,0.00999999885
ootf,1.5,0.00999999978,0.00999999978,0.00999999978,0.00100000005,0.00100000005,0.00100000005
inverse_ootf,1.5,0.00999999978,0.00999999978,0.00999999978,0.0464158803,0.0464158803,0.0464158803
ootf_approx,1.5,0.00999999978,0.00999999978,0.00999999978,0.000999999931,0.000999999931,0.000999999931
inverse_ootf_approx,1.5,0.00999999978,0.00999999978,0.00999999978,0.046415884,0.046415884,0.046415884
ootf,1.5,0.0500000007,0.0500000007,0.0500000007,0.0111803403,0.0111803403,0.0111803403
inverse_ootf,1.5,0.0500000007,0.0500000007,0.0500000007,0.135720879,0.135720879,0.135720879
ootf_approx,1.5,0.0500000007,0.0500000007,0.0500000007,0.0111803403,0.0111803403,0.0111803403
inverse_ootf_approx,1.5,0.0500000007,0.0500000007,0.0500000007,0.135720879,0.135720879,0.135720879
ootf,1.5,0.100000001,0.100000001,0.100000001,0.0316227786,0.0316227786,0.0316227786
inverse_ootf,1.5,0.100000001,0.100000001,0.100000001,0.215443477,0.215443477,0.215443477
ootf_approx,1.5,0.100000001,0.100000001,0.100000001,0.0316227786,0.0316227786,0.0316227786
inverse_ootf_approx,1.5,0.100000001,0.100000001,0.100000001,0.215443462,0.215443462,0.215443462
ootf,1.5,0.180000007,0.180000007,0.180000007,0.0763675347,0.0763675347,0.0763675347
inverse_ootf,1.5,0.180000007,0.180000007,0.180000007,0.318797559,0.318797559,0.318797559
ootf_approx,1.5,0.180000007,0.180000007,0.180000007,0.0763675347,0.0763675347,0.0763675347
inverse_ootf_approx,1.5,0.180000007,0.180000007,0.180000007,0.318797559,0.318797559,0.318797559
ootf,1.5,0.25,0.25,0.25,0.125,0.125,0.125
inverse_ootf,1.5,0.25,0.25,0.25,0.396850258,0.396850258,0.396850258
ootf_approx,1.5,0.25,0.25,0.25,0.125,0.125,0.125
inverse_ootf_approx,1.5,0.25,0.25,0.25,0.396850258,0.396850258,0.396850258
ootf,1.5,0.5,0.5,0.5,0.353553385,0.353553385,0.353553385
inverse_ootf,1.5,0.5,0.5,0.5,0.629960537,0.629960537,0.629960537
ootf_approx,1.5,0.5,0.5,0.5,0.353553385,0.353553385,0.353553385
inverse_ootf_approx,1.5,0.5,0.5,0.5,0.629960537,0.629960537,0.629960537
ootf,1.5,0.75,0.75,0.75,0.649519026,0.649519026,0.649519026
inverse_ootf,1.5,0.75,0.75,0.75,0.825481832,0.825481832,0.825481832
ootf_approx,1.5,0.75,0.75,0.75,0.649519026,0.649519026,0.649519026
inverse_ootf_approx,1.5,0.75,0.75,0.75,0.825481832,0.825481832,0.825481832
ootf,1.5,1,1,1,1,1,1
inverse_ootf,1.5,1,1,1,1,1,1
ootf_approx,1.5,1,1,1,1,1,1
inverse_ootf_approx,1.5,1,1,1,1,1,1
ootf,1,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005
inverse_ootf,1,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005
ootf_approx,1,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005
inverse_ootf_approx,1,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005
ootf,1,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005
inverse_ootf,1,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005
ootf_approx,1,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005
inverse_ootf_approx,1,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005
ootf,1,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005
inverse_ootf,1,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005
ootf_approx,1,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005
inverse_ootf_approx,1,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005
ootf,1,0.00999999978,0.00100000005,0.00100000005,0.00999999978,0.00100000005,0.00100000005
inverse_ootf,1,0.00999999978,0.00100000005,0.00100000005,0.00999999978,0.00100000005,0.00100000005
ootf_approx,1,0.00999999978,0.00100000005,0.00100000005,0.00999999978,0.00100000005,0.00100000005
inverse_ootf_approx,1,0.00999999978,0.00100000005,0.00100000005,0.00999999978,0.00100000005,0.00100000005
ootf,1,0.00100000005,0.00999999978,0.00100000005,0.00100000005,0.00999999978,0.00100000005
inverse_ootf,1,0.00100000005,0.00999999978,0.00100000005,0.00100000005,0.00999999978,0.00100000005
ootf_approx,1,0.00100000005,0.00999999978,0.00100000005,0.00100000005,0.00999999978,0.00100000005
inverse_ootf_approx,1,0.00100000005,0.00999999978,0.00100000005,0.00100000005,0.00999999978,0.00100000005
ootf,1,0.00100000005,0.00100000005,0.00999999978,0.00100000005,0.00100000005,0.00999999978
inverse_ootf,1,0.00100000005,0.00100000005,0.00999999978,0.00100000005,0.00100000005,0.00999999978
ootf_approx,1,0.00100000005,0.00100000005,0.00999999978,0.00100000005,0.00100000005,0.00999999978
inverse_ootf_approx,1,0.00100000005,0.00100000005,0.00999999978,0.00100000005,0.00100000005,0.00999999978
ootf,1,0.0500000007,0.00100000005,0.00100000005,0.0500000007,0.00100000005,0.00100000005
inverse_ootf,1,0.0500000007,0.00100000005,0.00100000005,0.0500000007,0.00100000005,0.00100000005
ootf_approx,1,0.0500000007,0.00100000005,0.00100000005,0.0500000007,0.00100000005,0.00100000005
inverse_ootf_approx,1,0.0500000007,0.00100000005,0.00100000005,0.0500000007,0.00100000005,0.00100000005
ootf,1,0.00100000005,0.0500000007,0.00100000005,0.00100000005,0.0500000007,0.00100000005
inverse_ootf,1,0.00100000005,0.0500000007,0.00100000005,0.00100000005,0.0500000007,0.00100000005
ootf_approx,1,0.00100000005,0.0500000007,0.00100000005,0.00100000005,0.0500000007,0.00100000005
inverse_ootf_approx,1,0.00100000005,0.0500000007,0.00100000005,0.00100000005,0.0500000007,0.00100000005
ootf,1,0.00100000005,0.00100000005,0.0500000007,0.00100000005,0.00100000005,0.0500000007
inverse_ootf,1,0.00100000005,0.00100000005,0.0500000007,0.00100000005,0.00100000005,0.0500000007
ootf_approx,1,0.00100000005,0.00100000005,0.0500000007,0.00100000005,0.00100000005,0.0500000007
inverse_ootf_approx,1,0.00100000005,0.00100000005,0.0500000007,0.00100000005,0.00100000005,0.0500000007
ootf,1,0.100000001,0.00100000005,0.00100000005,0.100000001,0.00100000005,0.00100000005
inverse_ootf,1,0.100000001,0.00100000005,0.00100000005,0.100000001,0.00100000005,0.00100000005
ootf_approx,1,0.100000001,0.00100000005,0.00100000005,0.100000001,0.00100000005,0.00100000005
inverse_ootf_approx,1,0.100000001,0.00100000005,0.00100000005,0.100000001,0.00100000005,0.00100000005
ootf,1,0.00100000005,0.100000001,0.00100000005,0.00100000005,0.100000001,0.00100000005
inverse_ootf,1,0.00100000005,0.100000001,0.00100000005,0.00100000005,0.100000001,0.00100000005
ootf_approx,1,0.00100000005,0.100000001,0.00100000005,0.00100000005,0.100000001,0.00100000005
inverse_ootf_approx,1,0.00100000005,0.100000001,0.00100000005,0.00100000005,0.100000001,0.00100000005
ootf,1,0.00100000005,0.00100000005,0.100000001,0.00100000005,0.00100000005,0.100000001
inverse_ootf,1,0.00100000005,0.00100000005,0.100000001,0.00100000005,0.00100000005,0.100000001
ootf_approx,1,0.00100000005,0.00100000005,0.100000001,0.00100000005,0.00100000005,0.100000001
inverse_ootf_approx,1,0.00100000005,0.00100000005,0.100000001,0.00100000005,0.00100000005,0.100000001
ootf,1,0.180000007,0.00100000005,0.00100000005,0.180000007,0.00100000005,0.00100000005
inverse_ootf,1,0.180000007,0.00100000005,0.00100000005,0.180000007,0.00100000005,0.00100000005
ootf_approx,1,0.180000007,0.00100000005,0.00100000005,0.180000007,0.00100000005,0.00100000005
inverse_ootf_approx,1,0.180000007,0.00100000005,0.00100000005,0.180000007,0.00100000005,0.00100000005
ootf,1,0.00100000005,0.180000007,0.00100000005,0.00100000005,0.180000007,0.00100000005
inverse_ootf,1,0.00100000005,0.180000007,0.00100000005,0.00100000005,0.180000007,0.00100000005
ootf_approx,1,0.00100000005,0.180000007,0.00100000005,0.00100000005,0.180000007,0.00100000005
inverse_ootf_approx,1,0.00100000005,0.180000007,0.00100000005,0.00100000005,0.180000007,0.00100000005
ootf,1,0.00100000005,0.00100000005,0.180000007,0.00100000005,0.00100000005,0.180000007
inverse_ootf,1,0.00100000005,0.00100000005,0.180000007,0.00100000005,0.00100000005,0.180000007
ootf_approx,1,0.00100000005,0.00100000005,0.180000007,0.00100000005,0.00100000005,0.180000007
inverse_ootf_approx,1,0.00100000005,0.00100000005,0.180000007,0.00100000005,0.00100000005,0.180000007
ootf,1,0.25,0.00100000005,0.00100000005,0.25,0.00100000005,0.00100000005
inverse_ootf,1,0.25,0.00100000005,0.00100000005,0.25,0.00100000005,0.00100000005
ootf_approx,1,0.25,0.00100000005,0.00100000005,0.25,0.00100000005,0.00100000005
inverse_ootf_approx,1,0.25,0.00100000005,0.00100000005,0.25,0.00100000005,0.00100000005
ootf,1,0.00100000005,0.25,0.00100000005,0.00100000005,0.25,0.00100000005
inverse_ootf,1,0.00100000005,0.25,0.00100000005,0.00100000005,0.25,0.00100000005
ootf_approx,1,0.00100000005,0.25,0.00100000005,0.00100000005,0.25,0.00100000005
inverse_ootf_approx,1,0.00100000005,0.25,0.00100000005,0.00100000005,0.25,0.00100000005
ootf,1,0.00100000005,0.00100000005,0.25,0.00100000005,0.00100000005,0.25
inverse_ootf,1,0.00100000005,0.00100000005,0.25,0.00100000005,0.00100000005,0.25
ootf_approx,1,0.00100000005,0.00100000005,0.25,0.00100000005,0.00100000005,0.25
inverse_ootf_approx,1,0.00100000005,0.00100000005,0.25,0.00100000005,0.00100000005,0.25
ootf,1,0.5,0.00100000005,0.00100000005,0.5,0.00100000005,0.00100000005
inverse_ootf,1,0.5,0.00100000005,0.00100000005,0.5,0.00100000005,0.00100000005
ootf_approx,1,0.5,0.00100000005,0.00100000005,0.5,0.00100000005,0.00100000005
inverse_ootf_approx,1,0.5,0.00100000005,0.00100000005,0.5,0.00100000005,0.00100000005
ootf,1,0.00100000005,0.5,0.00100000005,0.00100000005,0.5,0.00100000005
inverse_ootf,1,0.00100000005,0.5,0.00100000005,0.00100000005,0.5,0.00100000005
ootf_approx,1,0.00100000005,0.5,0.00100000005,0.00100000005,0.5,0.00100000005
inverse_ootf_approx,1,0.00100000005,0.5,0.00100000005,0.00100000005,0.5,0.00100000005
ootf,1,0.00100000005,0.00100000005,0.5,0.00100000005,0.00100000005,0.5
inverse_ootf,1,0.00100000005,0.00100000005,0.5,0.00100000005,0.00100000005,0.5
ootf_approx,1,0.00100000005,0.00100000005,0.5,0.00100000005,0.00100000005,0.5
inverse_ootf_approx,1,0.00100000005,0.00100000005,0.5,0.00100000005,0.00100000005,0.5
ootf,1,0.75,0.00100000005,0.00100000005,0.75,0.00100000005,0.00100000005
inverse_ootf,1,0.75,0.00100000005,0.00100000005,0.75,0.00100000005,0.00100000005
ootf_approx,1,0.75,0.00100000005,0.00100000005,0.75,0.00100000005,0.00100000005
inverse_ootf_approx,1,0.75,0.00100000005,0.00100000005,0.75,0.00100000005,0.00100000005
ootf,1,0.00100000005,0.75,0.00100000005,0.00100000005,0.75,0.00100000005
inverse_ootf,1,0.00100000005,0.75,0.00100000005,0.00100000005,0.75,0.00100000005
ootf_approx,1,0.00100000005,0.75,0.00100000005,0.00100000005,0.75,0.00100000005
inverse_ootf_approx,1,0.00100000005,0.75,0.00100000005,0.00100000005,0.75,0.00100000005
ootf,1,0.00100000005,0.00100000005,0.75,0.00100000005,0.00100000005,0.75
inverse_ootf,1,0.00100000005,0.00100000005,0.75,0.00100000005,0.00100000005,0.75
ootf_approx,1,0.00100000005,0.00100000005,0.75,0.00100000005,0.00100000005,0.75
inverse_ootf_approx,1,0.00100000005,0.00100000005,0.75,0.00100000005,0.00100000005,0.75
ootf,1,1,0.00100000005,0.00100000005,1,0.00100000005,0.00100000005
inverse_ootf,1,1,0.00100000005,0.00100000005,1,0.00100000005,0.00100000005
ootf_approx,1,1,0.00100000005,0.00100000005,1,0.00100000005,0.00100000005
inverse_ootf_approx,1,1,0.00100000005,0.00100000005,1,0.00100000005,0.00100000005
ootf,1,0.00100000005,1,0.00100000005,0.00100000005,1,0.00100000005
inverse_ootf,1,0.00100000005,1,0.00100000005,0.00100000005,1,0.00100000005
ootf_approx,1,0.00100000005,1,0.00100000005,0.00100000005,1,0.00100000005
inverse_ootf_approx,1,0.00100000005,1,0.00100000005,0.00100000005,1,0.00100000005
ootf,1,0.00100000005,0.00100000005,1,0.00100000005,0.00100000005,1
inverse_ootf,1,0.00100000005,0.00100000005,1,0.00100000005,0.00100000005,1
ootf_approx,1,0.00100000005,0.00100000005,1,0.00100000005,0.00100000005,1
inverse_ootf_approx,1,0.00100000005,0.00100000005,1,0.00100000005,0.00100000005,1
