# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_OUTPUT_TRANSFORM_20 (inverse direction)
# columns: peak_nits,limiting_primaries,r_display,g_display,b_display,r_ap0,g_ap0,b_ap0
# inputs are the forward outputs of aces2_ocio_output_transform.csv
100.0,p3d65,-0.011009672,0.25492766,0.22938101,2.3138475e-07,0.5,0.50000054
100.0,p3d65,-9.778794e-07,9.438302e-06,1.2979194e-05,7.2341145e-06,-1.1985352e-05,0.5006005
100.0,p3d65,0.36149594,-0.0057831733,0.22840692,0.50000006,1.05259225e-07,0.4999988
100.0,p3d65,0.8522031,-0.010823163,0.029375868,0.9999981,7.2145787e-07,1.7436038e-07
100.0,p3d65,0.6116156,0.522504,-0.0044789664,1.0000008,1.0000015,7.0130184e-08
100.0,p3d65,-0.016069334,0.49884814,0.08588458,2.7650117e-06,0.99999803,1.0965604e-06
100.0,p3d65,-0.022493264,0.447664,0.40246603,-1.4092e-05,1.0000118,1.0000142
100.0,p3d65,-4.276407e-06,4.483159e-05,6.1237675e-05,2.216609e-05,-3.630537e-05,1.001778
100.0,p3d65,0.67008746,-0.014837645,0.4222167,1.000001,-1.1984004e-07,1.000002
100.0,p3d65,1.1533489,0.21321627,0.2045753,7.7778907,-0.0587048,-0.019549929
100.0,p3d65,1.0143961,0.9799119,0.42417404,9.990667,9.991114,0.00086668116
100.0,p3d65,0.2489021,1.0302556,0.35776508,0.004711661,9.823522,0.001123782
100.0,p3d65,0.16918388,1.0169417,0.93307334,0.0031312406,10.037555,10.03743
100.0,p3d65,-0.00035316695,0.005746001,0.0075817793,-0.00022933436,0.0003566669,9.984216
100.0,p3d65,1.0904769,0.23260996,0.75478905,8.165348,-0.01930298,8.16284
100.0,p3d65,-0.0008003632,0.26197305,0.17336476,0.1283565,0.42425424,0.28918517
100.0,p3d65,0.09475189,0.1264455,0.20089501,0.2179053,0.23109855,0.3448657
100.0,p3d65,6.114368e-06,0.00034250776,5.2412586e-05,0.0025988352,0.008282666,0.001265964
100.0,p3d65,1.1058045e-05,3.9762764e-07,5.8437518e-06,0.0016947715,0.0004466906,0.00137309
