# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_RGB_TO_JMH_20
# columns: primaries,r,g,b,J,M,h
ap1,0.19156015,0.19844612,-0.04582044,41.39515,85.25686,109.2971
ap1,0.18020925,0.22492863,0.26699904,49.102695,7.12008,223.38116
rec709,0.0,0.0,0.0,0.0,0.0,0.0
rec709,1e-04,1e-04,1e-04,1.2754085,9.55899e-07,164.57474
rec709,0.001,0.001,0.001,3.825171,1.9493402e-06,162.65503
rec709,0.01,0.01,0.01,11.448257,1.8027303e-06,153.22482
rec709,0.05,0.05,0.05,24.561338,2.9480893e-06,181.73788
rec709,0.18,0.18,0.18,44.93861,2.4529583e-05,165.8651
rec709,0.5,0.5,0.5,72.49244,1.3372808e-05,168.29924
rec709,1.0,1.0,1.0,99.999985,3.4158595e-05,185.80865
rec709,2.0,2.0,2.0,137.52728,6.601254e-06,177.93018
rec709,8.0,8.0,8.0,256.72885,0.00010800385,163.58693
rec709,32.0,32.0,32.0,466.52563,0.00018103122,164.1798
rec709,100.0,100.0,100.0,738.8857,0.0004360034,177.74358
rec709,0.05,0.0,0.0,12.004956,21.784994,26.0745
rec709,0.05,0.05,0.0,22.432692,15.574506,106.48507
rec709,0.0,0.05,0.0,19.23038,19.75969,140.4685
rec709,0.0,0.05,0.05,21.681553,9.849062,195.85086
rec709,0.0,0.0,0.05,10.416554,15.044892,276.442
rec709,0.05,0.0,0.05,15.805684,19.762953,332.50656
rec709,0.5,0.0,0.0,35.71128,56.417202,26.18893
rec709,0.5,0.5,0.0,66.29284,40.109543,106.5266
rec709,0.0,0.5,0.0,56.943768,50.864204,140.35938
rec709,0.0,0.5,0.5,64.10581,25.200605,195.83345
rec709,0.0,0.0,0.5,31.022526,38.729053,276.32422
rec709,0.5,0.0,0.5,46.905857,50.865196,332.58337
rec709,1.0,0.0,0.0,49.469288,74.84962,26.250994
rec709,1.0,1.0,0.0,91.50909,53.055107,106.54875
rec709,0.0,1.0,0.0,78.68832,67.26431,140.30081
rec709,0.0,1.0,1.0,88.514275,33.218452,195.82416
rec709,0.0,0.0,1.0,43.001266,51.2174,276.26068
rec709,1.0,0.0,1.0,64.89376,67.25991,332.62442
rec709,10.0,0.0,0.0,143.79602,186.63248,26.646006
rec709,10.0,10.0,0.0,260.2592,129.86293,106.68408
rec709,0.0,10.0,0.0,225.27393,164.39546,139.93782
rec709,0.0,10.0,10.0,252.16074,79.57452,195.76773
rec709,0.0,0.0,10.0,125.48964,125.191284,275.86182
rec709,10.0,0.0,10.0,187.13872,164.28302,332.87646
rec709,0.12835671,0.42425424,0.2891852,59.975094,17.830164,169.35231
rec709,0.2179053,0.23109841,0.34486538,52.152954,7.681519,276.20465
rec709,0.0025988314,0.008282656,0.0012659623,8.814258,6.4796114,136.64563
rec709,0.0016947687,0.00044669004,0.0013730898,3.6135595,2.7861092,338.2739
rec709,7.2360888,5.3612547,6.6169443,225.99599,21.385218,339.79318
rec709,0.00061579206,0.0014427701,0.0016487708,4.313307,1.2462963,209.98955
rec709,0.00085590343,0.005282828,0.0067177676,7.8300014,3.2694159,212.67354
rec709,14.227308,18.438784,4.0771413,338.00247,106.378685,117.348305
rec709,0.05438203,0.008477045,0.0514045,18.066751,15.256806,332.92105
rec709,60.60197,33.507004,88.86753,556.1785,132.1927,310.90942
rec709,2.780193,12.51065,22.101048,305.17017,80.69645,234.5942
rec709,0.053610936,0.09035126,0.0063881534,28.287277,18.22211,122.418785
rec709,0.040305544,0.053870525,0.04492682,24.383518,2.8158207,159.53027
rec709,2.0856154,0.8216084,1.7603343,111.60645,39.020065,337.831
rec709,0.012909604,0.0018970562,0.011854765,9.034665,8.48805,333.83643
rec709,0.63535184,0.59443116,0.34960604,76.55463,12.391114,96.82723
rec709,0.009795946,0.0067738215,0.007262715,10.015869,1.5818431,6.634997
rec709,4.9657006,7.114646,0.7187635,217.60747,96.13606,118.6358
rec709,0.020688212,0.025609445,0.006608773,16.364803,7.290962,116.152565
rec709,0.002140473,0.0022664326,0.0013847284,5.4321775,1.1554828,111.17174
rec709,5.7410045,6.970885,5.246352,232.46584,20.543095,136.71957
rec709,12.311204,5.3472,2.5092647,233.20119,75.27429,48.203934
rec709,1.1829528,7.845009,5.9025946,225.55211,64.1725,178.91525
