# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_GAMUT_COMPRESS_20
# columns: peak_nits,limiting_primaries,J,M,h,J_out,M_out,h_out
100.0,p3d65,88.99155,204.17139,19.1395,68.56666,57.495674,19.1395
100.0,p3d65,95.390724,73.17282,101.9972,94.46093,24.958698,101.9972
100.0,p3d65,91.792534,159.706,152.63237,85.089,46.097626,152.63237
100.0,p3d65,92.31271,121.13311,189.99106,89.4039,35.153408,189.99106
100.0,p3d65,7.4720235,12.772386,207.45953,7.8473387,5.502088,207.45953
100.0,p3d65,90.26218,181.55933,346.19482,75.36446,52.10702,346.19482
100.0,p3d65,43.832962,38.72115,177.88812,44.74763,27.188421,177.88812
100.0,p3d65,38.85338,8.639419,255.76355,38.85338,8.639419,255.76355
100.0,p3d65,1.7751789,3.1615276,150.59303,1.7843212,2.4588518,150.59303
100.0,p3d65,0.2758018,0.63821834,350.13837,0.27581027,0.63406634,350.13837
100.0,p3d65,92.988815,2.3547194,351.54572,92.988815,2.3547194,351.54572
100.0,p3d65,0.3078981,0.39742061,196.39767,0.3081202,0.29985595,196.39767
100.0,p3d65,1.0525311,1.7939593,197.00922,1.0591242,0.9449515,197.00922
100.0,p3d65,97.35511,6.5100327,120.88376,97.35511,6.5100327,120.88376
100.0,p3d65,8.964506,17.184107,346.34564,9.097158,14.845134,346.34564
100.0,p3d65,99.32266,1.1077201,324.87567,99.32237,0.95244884,324.87567
100.0,p3d65,94.897514,93.0055,206.70474,92.55923,14.878604,206.70474
100.0,p3d65,18.751842,20.64519,129.32271,18.817684,19.985102,129.32271
100.0,p3d65,13.829343,6.013414,171.64165,13.829342,6.013414,171.64165
100.0,p3d65,75.38622,36.150238,349.9678,75.35447,35.93148,349.9678
100.0,p3d65,2.1628506,5.0143723,346.98468,2.1745532,4.2709804,346.98468
100.0,p3d65,59.218662,9.091327,79.86531,59.218662,9.091327,79.86531
100.0,p3d65,2.60413,1.8721174,6.304041,2.60413,1.8721174,6.304041
100.0,p3d65,92.69026,34.112175,122.93732,92.52654,28.503199,122.93732
100.0,p3d65,7.2566843,6.0416217,118.7246,7.256685,6.0416217,118.7246
100.0,p3d65,0.6495877,0.24956666,108.72589,0.64958763,0.24956666,108.72589
100.0,p3d65,93.19657,1.6201054,151.48792,93.19657,1.6201054,151.48792
100.0,p3d65,94.56425,12.007692,29.440594,94.37627,7.266283,29.440594
100.0,p3d65,91.26324,92.720024,182.86198,89.02607,33.40261,182.86198
100.0,p3d65,93.20054,19.922007,149.11057,93.124664,17.66877,149.11057
100.0,p3d65,72.459015,74.618164,345.49277,70.43792,58.239178,345.49277
100.0,p3d65,85.29557,66.010185,352.8672,80.970276,34.025654,352.8672
100.0,p3d65,98.34507,0.9528927,97.63913,98.34507,0.9528927,97.63913
100.0,p3d65,63.827538,7.783161,85.05584,63.827534,7.783161,85.05584
100.0,p3d65,41.760845,22.769804,98.45711,41.760845,22.769804,98.45711
100.0,p3d65,85.079605,21.390133,185.94801,85.07959,21.390133,185.94801
100.0,p3d65,11.756778,29.145988,341.19208,12.425525,19.707619,341.19208
100.0,p3d65,20.739182,50.64206,352.1386,21.893274,35.257446,352.1386
100.0,p3d65,27.749968,19.315853,325.2071,27.74997,19.315853,325.2071
100.0,p3d65,25.159132,33.468525,181.26607,26.93546,17.817066,181.26607
100.0,p3d65,25.531658,47.773018,348.3731,26.170732,38.562607,348.3731
100.0,p3d65,41.825592,33.059605,94.72156,41.894073,32.21391,94.72156
100.0,p3d65,33.955936,46.3369,106.98563,35.750965,31.68869,106.98563
100.0,p3d65,36.841534,9.161618,212.5545,36.841534,9.161618,212.5545
1000.0,rec2020,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,rec2020,0.025465075,0.0,164.57474,0.025465075,0.0,164.57474
1000.0,rec2020,0.31763744,0.0,173.92226,0.31763744,0.0,173.92226
1000.0,rec2020,3.7110732,0.0,219.61554,3.7110732,0.0,219.61554
1000.0,rec2020,16.408289,0.0,181.73788,16.408289,0.0,181.73788
1000.0,rec2020,40.609158,4.5414752e-05,177.62239,40.60916,4.5414752e-05,177.62239
1000.0,rec2020,72.85185,4.6091103e-05,176.44167,72.85185,4.6091103e-05,176.44167
1000.0,rec2020,102.98006,6.823955e-05,177.48572,102.98006,6.823955e-05,177.48572
1000.0,rec2020,139.3306,0.0,177.93018,139.3306,0.0,177.93018
1000.0,rec2020,214.68697,4.5773908e-05,176.9954,214.68698,4.5773908e-05,176.9954
1000.0,rec2020,261.42773,0.0,180.71329,261.42773,0.0,180.71329
1000.0,rec2020,276.7395,0.0,177.74358,276.7395,0.0,177.74358
1000.0,rec2020,7.015177,19.325783,18.546513,7.0151772,19.325783,18.546513
1000.0,rec2020,15.738002,15.839684,101.42356,15.738003,15.839684,101.42356
1000.0,rec2020,9.442757,17.487516,153.3745,9.442758,17.487516,153.3745
1000.0,rec2020,10.056632,12.38753,190.06866,10.056632,12.38753,190.06866
1000.0,rec2020,0.03363123,1.2938137,209.1584,0.03363123,1.2938137,209.1584
1000.0,rec2020,7.9579086,17.24516,345.9525,7.957908,17.24516,345.9525
1000.0,rec2020,42.047413,96.756676,18.664797,42.047413,96.756676,18.664797
1000.0,rec2020,70.87914,59.570023,101.54386,70.87914,59.570023,101.54386
1000.0,rec2020,50.944595,82.62487,153.2239,50.944595,82.62487,153.2239
1000.0,rec2020,53.049862,58.498253,190.0524,53.049862,58.498253,190.0524
1000.0,rec2020,0.41030902,3.0947742,208.80357,0.41030905,3.0947742,208.80357
1000.0,rec2020,45.63313,84.88655,346.0031,45.63313,84.88655,346.0031
1000.0,rec2020,62.883972,141.46358,18.729034,62.88397,141.46358,18.729034
